composition,structure,total_magnetization,volume,mag_per_volume
Cr6Fe6Co6Cu6Ni8,"Full Formula (Cr6 Fe6 Co6 Cu6 Ni8)
Reduced Formula: Cr3Fe3Co3Cu3Ni4
abc   :   7.143870   7.157766   7.151706
angles:  89.915252  90.069109  90.157109
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Cr     0.502551   0.004456  -0.00435   -2.058
  1  Cr     0.004315   0.00381    0.487362   0.362
  2  Cr    -0.005792   0.740185   0.746714   -0.766
  3  Cr     0.243773  -0.001485   0.740259   -1.071
  4  Cr     0.755301   0.245855   0.505025   -1.684
  5  Cr     0.76696    0.762303   0.508801   -0.073
  6  Fe    -0.001511   0.493492   0.492591   2.229
  7  Fe     0.501726   0.755543   0.252298   2.455
  8  Fe     0.747124   0.497141   0.747947   2.288
  9  Fe     0.750119   0.250987   0.002781   2.663
 10  Fe     0.751508   0.751551   0.003679   2.480
 11  Fe     0.246295   0.744908   0.492093   2.429
 12  Ni     0.500816  -0.002368   0.504336   0.287
 13  Ni     0.000614   0.250179   0.247423   0.256
 14  Ni     0.49984    0.249654   0.748129   0.226
 15  Ni     0.502652   0.752734   0.74572   0.222
 16  Ni     0.246084   0.500122   0.247341   0.363
 17  Ni     0.750127   0.500834   0.250978   0.329
 18  Ni     0.248213   0.500502   0.749104   0.263
 19  Ni     0.246758   0.250684   0.499399   0.270
 20  Co    -0.003026   0.502811   0.002027   1.465
 21  Co    -0.002967   0.74424    0.256315   1.153
 22  Co     0.250936   0.001896   0.253477   1.278
 23  Co     0.750533  -0.001463   0.252338   1.111
 24  Co     0.750325   0.002746   0.748438   0.990
 25  Co     0.250587   0.245536   0.001939   1.355
 26  Cu     0.000722  -0.00078    0.005307   0.041
 27  Cu     0.496622   0.499475  -0.00127   0.061
 28  Cu     0.498928   0.501718   0.500274   0.037
 29  Cu     0.497939   0.251373   0.255232   0.007
 30  Cu     0.003575   0.253606   0.75561   0.033
 31  Cu     0.248352   0.747755   0.002683   0.009",19.014,365.6943668,0.051994238
Al2Fe10Co9Si2Ni9,"Full Formula (Al2 Fe10 Co9 Si2 Ni9)
Reduced Formula: Al2Fe10Co9Si2Ni9
abc   :   7.177074   7.013498   7.197301
angles:  89.932577  90.202575  89.904503
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c      magmom
---  ----  --------  --------  --------  --------
  0  Al    0.504062  0.746376  0.227019   -0.039
  1  Al    0.750292  0.745825  0.500136   -0.056
  2  Si    0.744663  0.007331  0.762168   -0.044
  3  Si    0.250907  0.750385  0.517641   -0.065
  4  Fe    0.006824  0.000765  0.994058   2.450
  5  Fe    0.999393  0.4996    0.002206   2.563
  6  Fe    0.002202  0.492469  0.501356   2.433
  7  Fe    0.004966  0.751327  0.252436   2.410
  8  Fe    0.003759  0.249924  0.749476   2.453
  9  Fe    0.4909    0.251266  0.744555   2.546
 10  Fe    0.251242  0.002994  0.252265   2.428
 11  Fe    0.751012  0.010484  0.247876   2.508
 12  Fe    0.251432  0.501026  0.249598   2.412
 13  Fe    0.746512  0.501266  0.753845   2.464
 14  Ni    0.496336  0.005898  0.997314   0.446
 15  Ni    0.499568  0.492851  0.994529   0.534
 16  Ni    0.500685  0.989414  0.49672   0.262
 17  Ni    0.000955  0.246172  0.24963   0.627
 18  Ni    0.750574  0.497928  0.252135   0.406
 19  Ni    0.250763  0.999775  0.746597   0.440
 20  Ni    0.749508  0.250091  0.999056   0.520
 21  Ni    0.756725  0.754382  0.997543   0.404
 22  Ni    0.747714  0.24925   0.503727   0.536
 23  Co    0.998436  0.999542  0.503047   1.349
 24  Co    0.494586  0.502518  0.502676   1.238
 25  Co    0.494926  0.252719  0.254565   1.603
 26  Co    0.997223  0.74908   0.74688   1.335
 27  Co    0.503799  0.748563  0.75733   1.283
 28  Co    0.25349   0.499057  0.753918   1.427
 29  Co    0.249442  0.251578  0.004065   1.526
 30  Co    0.248698  0.749906  0.989404   1.512
 31  Co    0.248408  0.250238  0.496229   1.516",41.427,362.283159,0.114349781
Mn3Fe9Co9Si3Ni8,"Full Formula (Mn3 Fe9 Co9 Si3 Ni8)
Reduced Formula: Mn3Fe9Co9Si3Ni8
abc   :   7.098817   7.093051   7.103519
angles:  89.577757  89.873439  90.731168
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Si     0.493896   0.240419   0.257377   -0.008
  1  Si     0.236572   0.507136   0.246231   -0.039
  2  Si     0.772557   0.250698  -0.012447   -0.036
  3  Mn     0.505127   0.506774   0.503057   -2.749
  4  Mn     0.750782   0.001704   0.257296   -2.512
  5  Mn     0.744207   0.743621  -0.003508   -2.902
  6  Fe    -0.005789   0.4975     0.495989   2.236
  7  Fe    -0.012417   0.753927   0.249938   2.196
  8  Fe     0.500754   0.246537   0.750339   2.392
  9  Fe     0.247465   0.499873   0.751325   2.421
 10  Fe     0.750681   0.50457    0.751452   2.126
 11  Fe     0.243487   0.240474   0.001403   2.388
 12  Fe     0.255015   0.765671   0.00126   2.499
 13  Fe     0.75657    0.246761   0.502756   2.120
 14  Fe     0.248135   0.752359   0.50045   2.388
 15  Ni     0.004344   0.502687   0.001219   0.317
 16  Ni     0.490062   0.49367    0.009925   0.294
 17  Ni     0.49993    0.000203   0.500281   0.298
 18  Ni     0.495848   0.753056   0.752333   0.287
 19  Ni     0.742666   0.487519   0.245914   0.173
 20  Ni     0.250978   0.002319   0.75016   0.535
 21  Ni     0.751769  -0.003242   0.748005   0.387
 22  Ni     0.254241   0.257064   0.490865   0.181
 23  Co    -0.003577  -0.005605  -0.00268   1.074
 24  Co     0.514484   0.016743   0.00759   0.590
 25  Co     0.005381   0.001067   0.50177   1.438
 26  Co    -0.00078    0.243861   0.249641   0.955
 27  Co     0.500474   0.750594   0.251871   0.860
 28  Co     0.00494    0.247294   0.741772   1.281
 29  Co     0.002385   0.749048   0.748044   1.377
 30  Co     0.246251  -0.005993   0.250243   1.334
 31  Co     0.753562   0.75169    0.500126   1.308",25.209,357.6385297,0.070487372
Fe10Co10Ni9BP2,"Full Formula (Fe10 Co10 Ni9 B1 P2)
Reduced Formula: Fe10Co10Ni9BP2
abc   :   6.822333   7.027791   7.401799
angles:  90.185963  89.679903  89.899911
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  B      0.751934   0.49398    0.34182   -0.118
  1  P      0.485787   0.75713    0.689125   -0.038
  2  P      0.763674   0.771468  -0.002495   -0.050
  3  Fe     0.529953   0.504115   0.008475   2.512
  4  Fe    -0.025637   0.71849    0.245801   2.379
  5  Fe     0.526609   0.736764   0.248345   2.467
  6  Fe     0.500185   0.24159    0.75357   2.600
  7  Fe     0.235736   0.018342   0.247299   2.746
  8  Fe     0.248917   0.485568   0.244498   2.583
  9  Fe     0.258756   0.505588   0.753062   2.496
 10  Fe     0.737354   0.520584   0.748247   2.413
 11  Fe     0.747049   0.240299   0.509117   2.463
 12  Fe     0.231873   0.753569   0.480882   2.409
 13  Ni     0.005946  -0.003521  -0.003778   0.412
 14  Ni     0.498839  -0.000984   0.015123   0.452
 15  Ni    -0.011368   0.504626  -0.013159   0.516
 16  Ni     0.000589   0.494883   0.512829   0.487
 17  Ni     0.525528   0.263399   0.249366   0.565
 18  Ni     0.764095   0.001561   0.2496   0.544
 19  Ni     0.261453  -0.00968    0.750723   0.423
 20  Ni     0.249071   0.257715  -0.003108   0.593
 21  Ni     0.253476   0.740966   0.010375   0.602
 22  Co    -0.00014    0.006114   0.504228   1.604
 23  Co     0.49791   -0.000764   0.483075   1.324
 24  Co     0.49843    0.498504   0.492192   1.069
 25  Co    -0.036858   0.286726   0.249243   1.493
 26  Co    -0.002916   0.244536   0.750829   1.658
 27  Co     0.006696   0.750327   0.748707   1.508
 28  Co     0.731961  -0.024408   0.753879   1.078
 29  Co     0.752159   0.239432  -0.011649   1.695
 30  Co     0.25152    0.249795   0.499286   1.665
 31  Co     0.761418   0.753287   0.494492   1.258",43.808,354.8781798,0.123445178
AlFe15Co8SiNi7,"Full Formula (Al1 Fe15 Co8 Si1 Ni7)
Reduced Formula: AlFe15Co8SiNi7
abc   :   7.876047   7.893189   5.880269
angles:  90.010483  90.117375  90.587003
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Al     0.256413  -0.000848   0.749373   -0.044
  1  Si     0.241824   0.504335   0.749794   -0.048
  2  Fe    -0.000834   0.00601    0.006994   2.631
  3  Fe    -0.002014   0.493668   0.007097   2.700
  4  Fe     0.000974  -0.003018   0.494774   2.611
  5  Fe    -0.001523   0.745175   0.247076   2.658
  6  Fe     0.504397   0.737666   0.251814   2.354
  7  Fe     0.506615   0.240724   0.748379   2.353
  8  Fe     0.003747   0.752564   0.756671   2.476
  9  Fe     0.501331   0.763449   0.743464   2.380
 10  Fe     0.250176   0.00241    0.251675   2.325
 11  Fe     0.754846  -0.0073     0.256038   2.302
 12  Fe     0.754143   0.006672   0.743734   2.650
 13  Fe     0.754855   0.48913    0.751377   2.672
 14  Fe     0.2482     0.255786  -0.005159   2.671
 15  Fe     0.749804   0.750008  -0.008697   2.612
 16  Fe     0.251647   0.744944   0.492131   2.638
 17  Ni     0.505859   0.001192   0.01659   0.648
 18  Ni     0.491335   0.505359  -0.029657   0.527
 19  Ni     0.002726   0.503349   0.505139   0.677
 20  Ni     0.491157   0.499551   0.525641   0.564
 21  Ni    -0.011121   0.245595   0.743805   0.566
 22  Ni     0.739895   0.504291   0.244796   0.399
 23  Ni     0.747801   0.242803   0.019272   0.536
 24  Co     0.505093   0.001859   0.482218   1.653
 25  Co     0.007098   0.250561   0.261461   1.481
 26  Co     0.489369   0.268117   0.245979   1.622
 27  Co     0.254458   0.495214   0.245547   1.410
 28  Co     0.254286   0.747322   0.003889   1.683
 29  Co     0.252838   0.258804   0.508887   1.623
 30  Co     0.743318   0.250978   0.481232   1.745
 31  Co     0.751287   0.743629   0.508667   1.727",54.764,365.5394734,0.149816925
Nb3V3Fe6Co7Ni13,"Full Formula (Nb3 V3 Fe6 Co7 Ni13)
Reduced Formula: Nb3V3Fe6Co7Ni13
abc   :   7.281747   7.244770   7.208223
angles:  89.895460  89.995083  90.051882
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  V     -0.019584   0.007097   0.489932   -0.815
  1  V      0.256229  -0.000252   0.758592   -0.272
  2  V      0.220539   0.240377  -0.007595   -0.514
  3  Fe    -0.004491   0.512192   0.002146   2.520
  4  Fe    -0.002959   0.252529   0.747282   2.044
  5  Fe    -0.009684   0.750634   0.75183   2.330
  6  Fe     0.521908   0.750851   0.747131   2.198
  7  Fe     0.763762   0.240572  -0.006882   2.501
  8  Fe     0.240745   0.252887   0.506591   2.282
  9  Ni    -0.002447  -0.004698   0.004175   0.316
 10  Ni     0.501042  -0.002985  -0.004563   0.157
 11  Ni     0.509968  -0.001578   0.509586   0.184
 12  Ni    -0.003703   0.497601   0.497459   0.410
 13  Ni     0.505729   0.755528   0.248716   0.075
 14  Ni     0.500119   0.249086   0.75021   0.215
 15  Ni     0.754306  -0.007008   0.246772   0.183
 16  Ni     0.240524   0.492362   0.245462   0.209
 17  Ni     0.754302   0.506201   0.253711   0.337
 18  Ni     0.753435  -0.000363   0.75129   0.329
 19  Ni     0.24389    0.755928   0.001105   0.252
 20  Ni     0.757183   0.754772  -0.000503   0.426
 21  Ni     0.754687   0.747644   0.495781   0.297
 22  Co     0.507742   0.497591   0.511245   1.222
 23  Co    -0.008943   0.254209   0.252023   1.342
 24  Co    -0.001529   0.752434   0.251251   1.213
 25  Co     0.241987   0.004176   0.24573   0.782
 26  Co     0.241249   0.496004   0.754128   0.676
 27  Co     0.762371   0.50276    0.743599   1.332
 28  Co     0.757293   0.251373   0.507651   1.236
 29  Nb     0.502607   0.514369  -0.010428   -0.311
 30  Nb     0.503257   0.237364   0.262674   -0.274
 31  Nb     0.258463   0.740343   0.493898   -0.281",22.602,380.2660025,0.059437341
Mn2Al2Fe10(CoNi)9,"Full Formula (Mn2 Al2 Fe10 Co9 Ni9)
Reduced Formula: Mn2Al2Fe10(CoNi)9
abc   :   7.132209   7.073939   7.185908
angles:  89.939851  89.932628  90.139286
pbc   :       True       True       True
Sites (32)
  #  SP           a          b          c      magmom
---  ----  --------  ---------  ---------  --------
  0  Al    0.001029   0.748114   0.250055   -0.040
  1  Al    0.747745   0.249665   0.492214   -0.039
  2  Mn    0.743138  -0.003721   0.23768   -0.831
  3  Mn    0.744929   0.754596  -0.00201   -2.691
  4  Fe    0.001752   0.006247  -0.00016   2.257
  5  Fe    0.003819   0.500072   0.503595   2.458
  6  Fe    0.499407   0.244559   0.756365   2.415
  7  Fe    0.749788  -0.005007   0.752187   2.426
  8  Fe    0.252151   0.494556   0.752064   2.606
  9  Fe    0.747845   0.50424    0.755343   2.503
 10  Fe    0.74948    0.251593   0.011293   2.384
 11  Fe    0.254223   0.753883  -0.00295   2.574
 12  Fe    0.254245   0.244567   0.497054   2.564
 13  Fe    0.254953   0.755613   0.50128   2.536
 14  Ni    0.498657   0.500024   0.00087   0.467
 15  Ni    0.499073   0.500301   0.499968   0.515
 16  Ni    0.001711   0.250604   0.250877   0.390
 17  Ni    0.501763   0.750729   0.251627   0.378
 18  Ni    0.001698   0.750202   0.751044   0.480
 19  Ni    0.497066   0.750146   0.747647   0.523
 20  Ni    0.249236   0.501241   0.250081   0.551
 21  Ni    0.749137   0.502978   0.251202   0.331
 22  Ni    0.250307   0.249934  -0.001059   0.622
 23  Co    0.500789   0.001242   0.002091   1.284
 24  Co    0.000807   0.495309  -0.002182   1.366
 25  Co    0.000848  -0.002669   0.50019   1.356
 26  Co    0.500605  -0.002526   0.498174   1.378
 27  Co    0.492781   0.251084   0.243936   1.445
 28  Co    5.2e-05    0.24842    0.751233   1.523
 29  Co    0.252722  -5.1e-05    0.24844   1.519
 30  Co    0.248912   0.002976   0.748295   1.588
 31  Co    0.74933    0.751076   0.503558   1.498",38.339,362.5477383,0.105748832
Fe6Co6Cu6Ni6Mo8,"Full Formula (Fe6 Co6 Cu6 Ni6 Mo8)
Reduced Formula: Fe3Co3Cu3Ni3Mo4
abc   :   7.348477   7.340387   7.402266
angles:  90.116211  90.251203  90.036271
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Fe     0.499455   0.501525   0.003062   2.132
  1  Fe     0.005799   0.491518   0.500782   2.561
  2  Fe     0.492939   0.254741   0.257539   1.891
  3  Fe     0.24199    0.001652   0.241406   1.865
  4  Fe     0.758003   0.751622  -0.004007   2.481
  5  Fe     0.249283   0.262068   0.489748   2.021
  6  Ni    -0.004472   0.505328   0.00211   0.165
  7  Ni     0.495354   0.50537    0.494996   0.288
  8  Ni     0.001379   0.744192   0.748136   0.134
  9  Ni     0.49887    0.738841   0.750983   0.199
 10  Ni     0.24282    0.501953   0.7452   0.278
 11  Ni     0.74928    0.250612   0.49901   0.076
 12  Co     0.000387  -0.00367    0.004386   1.167
 13  Co     0.006769   0.255266   0.253468   1.185
 14  Co     0.493719   0.743713   0.2505   0.686
 15  Co     0.002911   0.258646   0.748414   0.939
 16  Co     0.249101   0.498484   0.259172   1.403
 17  Co     0.247998   0.740646   0.495811   1.263
 18  Cu    -0.000514   0.745404   0.256126   0.010
 19  Cu     0.760526  -0.004409   0.258204   0.007
 20  Cu     0.756275  -0.008616   0.740054   0.008
 21  Cu     0.759041   0.509299   0.744491   0.038
 22  Cu     0.240166   0.266777   0.008005   0.055
 23  Cu     0.751515   0.748518   0.502814   0.003
 24  Mo     0.505977  -0.004945   0.010089   -0.300
 25  Mo     0.019841   0.011079   0.500412   -0.201
 26  Mo     0.484516  -0.005576   0.48635   -0.132
 27  Mo     0.499074   0.269699   0.740429   -0.123
 28  Mo     0.73968    0.497768   0.251147   -0.343
 29  Mo     0.244368   0.002535   0.761527   0.003
 30  Mo     0.761381   0.241687  -0.006453   -0.021
 31  Mo     0.246569   0.728271   0.00609   -0.118",19.619,399.2784097,0.04913614
Nb8Fe6Co6Cu6Ni6,"Full Formula (Nb8 Fe6 Co6 Cu6 Ni6)
Reduced Formula: Nb4Fe3Co3(CuNi)3
abc   :   7.596789   7.378268   7.474266
angles:  89.396546  90.020474  89.799688
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c      magmom
---  ----  --------  --------  --------  --------
  0  Fe    0.998472  0.982901  0.996231   2.339
  1  Fe    0.494827  0.98368   0.500916   1.929
  2  Fe    0.007557  0.746246  0.743899   1.826
  3  Fe    0.241599  0.503391  0.725001   2.340
  4  Fe    0.251373  0.258131  0.006265   1.688
  5  Fe    0.237672  0.24803   0.497014   1.861
  6  Ni    0.501571  0.987541  0.998169   0.018
  7  Ni    0.999755  0.518079  0.503725   0.185
  8  Ni    0.500141  0.510994  0.499387   0.105
  9  Ni    0.510855  0.753281  0.250441   0.108
 10  Ni    0.753775  0.993484  0.251998   0.072
 11  Ni    0.25214   0.738305  0.982474   0.123
 12  Co    0.997508  0.74278   0.24633   0.151
 13  Co    0.254775  0.994174  0.757006   1.466
 14  Co    0.747269  0.52711   0.751337   1.127
 15  Co    0.750827  0.758706  0.015918   0.930
 16  Co    0.26059   0.7593    0.50926   0.686
 17  Co    0.741078  0.74587   0.49778   1.190
 18  Cu    0.509214  0.515507  0.006103   -0.007
 19  Cu    0.992639  0.253761  0.239311   -0.001
 20  Cu    0.017344  0.242024  0.760836   0.032
 21  Cu    0.486235  0.737242  0.752047   0.026
 22  Cu    0.7496    0.510963  0.249459   -0.001
 23  Cu    0.753384  0.247499  0.993295   -0.003
 24  Nb    0.987209  0.518831  0.982773   -0.414
 25  Nb    0.006765  0.984209  0.49689   -0.266
 26  Nb    0.512186  0.234141  0.257365   -0.264
 27  Nb    0.474485  0.260881  0.757291   -0.423
 28  Nb    0.2479    0.9735    0.227017   -0.220
 29  Nb    0.251209  0.519414  0.268438   -0.256
 30  Nb    0.744722  0.97225   0.758608   -0.244
 31  Nb    0.765327  0.277774  0.517419   0.101",16.203,418.9153399,0.038678459
Ti6Mn7Fe7(CoNi)6,"Full Formula (Ti6 Mn7 Fe7 Co6 Ni6)
Reduced Formula: Ti6Mn7Fe7(CoNi)6
abc   :   7.263159   7.124654   7.464001
angles:  89.902867  89.883327  90.243294
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c      magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.9841    0.242977  0.223752   0.092
  1  Ti    0.498557  0.272524  0.766025   -0.294
  2  Ti    0.750104  0.981226  0.769209   0.033
  3  Ti    0.253129  0.251313  0.496574   0.069
  4  Ti    0.240764  0.749646  0.507521   0.027
  5  Ti    0.76394   0.718322  0.486895   0.018
  6  Mn    0.994025  0.522674  0.000276   -2.157
  7  Mn    0.983899  0.015411  0.506129   -2.187
  8  Mn    0.515103  0.996405  0.493594   -2.102
  9  Mn    0.515392  0.248375  0.239807   -2.550
 10  Mn    0.495857  0.753934  0.236993   -2.508
 11  Mn    0.004052  0.251932  0.770713   -2.036
 12  Mn    0.248542  0.501747  0.23239   -2.128
 13  Fe    0.48914   9.4e-05   0.00722   2.035
 14  Fe    0.007235  0.477837  0.496627   0.602
 15  Fe    0.496078  0.497422  0.492213   0.594
 16  Fe    0.236352  0.500432  0.765034   1.911
 17  Fe    0.762807  0.510288  0.762987   2.162
 18  Fe    0.249181  0.752178  0.99523   2.160
 19  Fe    0.744388  0.268816  0.503992   2.202
 20  Ni    0.500237  0.507004  0.00621   -0.014
 21  Ni    0.005032  0.751841  0.245707   -0.036
 22  Ni    0.500396  0.73875   0.754164   0.268
 23  Ni    0.249897  0.000909  0.245227   -0.146
 24  Ni    0.748494  0.250976  0.993863   -0.069
 25  Ni    0.748324  0.751373  0.010679   0.058
 26  Co    0.009305  0.990843  0.992699   -0.239
 27  Co    0.003839  0.748156  0.752047   0.698
 28  Co    0.749185  0.996161  0.243441   -0.693
 29  Co    0.749227  0.496776  0.244238   0.063
 30  Co    0.25443   0.003864  0.757876   0.604
 31  Co    0.248992  0.249794  0.000669   0.665",-2.9,386.2385094,-0.007508314
Mn6Cr6Fe7Co7Ni6,"Full Formula (Mn6 Cr6 Fe7 Co7 Ni6)
Reduced Formula: Mn6Cr6Fe7Co7Ni6
abc   :   7.104234   7.141113   7.040832
angles:  90.429726  90.143529  89.833735
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Cr     0.499442  -0.009531   0.007306   -1.438
  1  Cr     0.504637   0.503515  -0.005758   -1.521
  2  Cr    -0.007454   0.511095   0.502622   -1.656
  3  Cr     0.50318    0.251604   0.254937   0.944
  4  Cr     0.243444   0.259286  -0.004063   -0.593
  5  Cr     0.24822    0.237833   0.505139   -1.314
  6  Mn     0.001766   0.001798   0.007621   -2.445
  7  Mn     0.507451   0.501369   0.501326   -2.279
  8  Mn    -0.001884   0.249811   0.259078   1.800
  9  Mn     0.750291   0.006685   0.740196   -2.372
 10  Mn     0.25311    0.508559   0.736999   2.047
 11  Mn     0.749562   0.246139   0.489326   1.787
 12  Fe    -0.002006   0.49859   -0.002364   2.145
 13  Fe    -8.1e-05    0.74998    0.250484   2.118
 14  Fe     0.501433   0.748293   0.25218   2.093
 15  Fe    -0.002265   0.252324   0.749159   1.870
 16  Fe     0.502242   0.247762   0.753138   1.887
 17  Fe     0.750726  -0.005277   0.252706   1.642
 18  Fe     0.749838   0.751661  -0.005048   1.911
 19  Ni     0.000282  -0.001508   0.501205   0.204
 20  Ni     0.499112   0.001352   0.501183   0.243
 21  Ni    -0.001623   0.750902   0.75257   0.044
 22  Ni     0.248676   0.500836   0.255734   0.151
 23  Ni     0.251045  -0.003445   0.754876   0.079
 24  Ni     0.250632   0.745552   0.00175   0.160
 25  Co     0.502746   0.750644   0.751396   0.738
 26  Co     0.251043   0.000794   0.247643   0.425
 27  Co     0.752787   0.503145   0.246381   0.835
 28  Co     0.746753   0.496447   0.747519   0.337
 29  Co     0.746756   0.243981  -0.001423   0.583
 30  Co     0.252473   0.752946   0.496246   1.112
 31  Co     0.747667   0.746858   0.499936   0.903",12.439,357.1838073,0.034825207
Zn7Fe6Co6Cu7Ni6,"Full Formula (Zn7 Fe6 Co6 Cu7 Ni6)
Reduced Formula: Zn7Fe6Co6Cu7Ni6
abc   :   7.207408   7.314251   7.227487
angles:  90.012110  89.957253  89.994288
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c      magmom
---  ----  --------  --------  --------  --------
  0  Fe    0.505397  0.486116  0.993759   2.614
  1  Fe    0.005936  0.252599  0.251667   2.604
  2  Fe    0.991134  0.743616  0.741559   2.455
  3  Fe    0.25152   0.49449   0.750496   2.369
  4  Fe    0.263926  0.259505  0.496974   2.536
  5  Fe    0.240265  0.733302  0.510493   2.591
  6  Ni    0.507685  0.008925  0.000224   0.504
  7  Ni    0.000872  0.497555  0.494873   0.466
  8  Ni    0.252774  0.501137  0.251174   0.342
  9  Ni    0.748288  0.501449  0.749704   0.215
 10  Ni    0.748288  0.248066  0.001151   0.315
 11  Ni    0.74476   0.754141  0.997575   0.352
 12  Co    0.492902  0.248337  0.239248   1.573
 13  Co    0.496921  0.248371  0.757874   1.522
 14  Co    0.747978  0.008071  0.252364   1.415
 15  Co    0.741586  0.995669  0.749988   1.411
 16  Co    0.256822  0.252587  0.002414   1.474
 17  Co    0.758827  0.756607  0.507054   1.525
 18  Cu    0.49705   0.99674   0.501314   0.054
 19  Cu    0.504323  0.505577  0.50157   0.041
 20  Cu    0.996462  0.747992  0.251051   0.015
 21  Cu    0.503699  0.749359  0.749326   0.040
 22  Cu    0.253588  0.998336  0.249804   0.015
 23  Cu    0.749246  0.499396  0.250704   0.021
 24  Cu    0.252576  0.002769  0.750825   0.021
 25  Zn    0.992582  0.999467  0.000946   -0.043
 26  Zn    0.99347   0.501595  0.002281   -0.043
 27  Zn    0.003973  0.999427  0.497386   -0.052
 28  Zn    0.507159  0.7505    0.251536   -0.035
 29  Zn    0.995238  0.254256  0.749347   -0.030
 30  Zn    0.25687   0.750275  0.995418   -0.031
 31  Zn    0.737883  0.253769  0.499901   -0.037",26.217,381.0098064,0.068809253
Mn6Cr7Fe6Co7Ni6,"Full Formula (Mn6 Cr7 Fe6 Co7 Ni6)
Reduced Formula: Mn6Cr7Fe6Co7Ni6
abc   :   7.063346   7.076482   7.104088
angles:  89.904670  90.316849  89.967451
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c      magmom
---  ----  ---------  ---------  ---------  --------
  0  Cr     0.002276   0.512081  -2e-05   -0.565
  1  Cr     0.502421  -0.002571   0.502789   0.582
  2  Cr     0.497612   0.504993   0.503995   0.313
  3  Cr     0.497013   0.748269   0.253533   -1.011
  4  Cr     0.002234   0.244619   0.740098   -0.749
  5  Cr     0.497346   0.258711   0.748362   -0.247
  6  Cr     0.242466   0.001252   0.247526   1.118
  7  Mn     0.499226   0.499737  -0.005872   -1.224
  8  Mn    -0.000483   0.244805   0.254459   -2.165
  9  Mn     0.499609   0.24676    0.252844   -1.840
 10  Mn     0.744477  -0.009355   0.747727   -0.829
 11  Mn     0.753795   0.247328   0.000557   -0.800
 12  Mn     0.756491   0.745847   0.501476   -1.668
 13  Fe     0.002986   0.500528   0.496605   2.264
 14  Fe     0.500392   0.742697   0.751528   1.643
 15  Fe     0.243999   0.501275   0.753995   1.570
 16  Fe     0.756667   0.500057   0.749573   1.254
 17  Fe     0.244647   0.254408  -0.001885   1.611
 18  Fe     0.750964   0.751491  -0.00137   1.985
 19  Ni     0.499172   0.002782  -0.001598   0.093
 20  Ni     0.001789   0.750802   0.248879   0.125
 21  Ni     0.752043  -0.001264   0.251597   0.076
 22  Ni     0.750522   0.500503   0.251578   0.004
 23  Ni     0.25177   -0.000405   0.747715   0.186
 24  Ni     0.250939   0.7514    -0.000843   0.114
 25  Co     0.000985   0.00158   -0.008011   0.845
 26  Co    -0.001858   0.000639   0.504535   0.804
 27  Co    -0.000535   0.749091   0.748315   1.037
 28  Co     0.251237   0.497657   0.250342   0.393
 29  Co     0.252064   0.251785   0.502498   0.293
 30  Co     0.747997   0.251564   0.504314   -0.276
 31  Co     0.249739   0.750936   0.504763   0.714",5.648,355.0822028,0.015906176
